bc_wells,subcluster
04_52_88,D7_1
04_53_30,D7_2
04_53_41,D7_1
04_53_51,D7_1
04_53_79,D7_1
04_53_87,D7_1
04_54_12,D7_4
04_54_32,D7_1
04_54_38,D7_3
04_54_44,D7_3
04_54_52,D7_1
04_55_08,D7_4
04_55_10,D7_4
04_55_26,D7_4
04_55_36,D7_1
04_55_41,D7_1
04_55_49,D7_4
04_55_57,D7_1
04_56_11,D7_1
04_56_39,D7_1
04_56_47,D7_1
04_56_56,D7_1
04_56_72,D7_4
04_56_93,D7_2
04_57_10,D7_1
04_57_84,D7_4
04_57_92,D7_2
04_58_33,D7_2
04_58_67,D7_4
04_59_24,D7_1
04_59_27,D7_3
04_59_56,D7_4
04_59_65,D7_2
04_60_17,D7_2
04_60_47,D7_1
04_61_02,D7_1
04_61_29,D7_4
04_61_31,D7_2
04_61_45,D7_2
04_61_60,D7_2
04_61_76,D7_1
04_61_82,D7_1
04_61_91,D7_3
04_62_90,D7_4
04_63_04,D7_1
04_63_30,D7_1
04_63_51,D7_4
04_63_55,D7_1
04_63_85,D7_4
04_64_05,D7_1
04_64_14,D7_1
04_64_18,D7_4
04_64_72,D7_1
04_64_77,D7_1
04_65_39,D7_1
04_65_90,D7_1
04_66_36,D7_3
04_66_41,D7_2
04_66_45,D7_1
04_66_90,D7_1
04_67_56,D7_3
04_67_61,D7_4
04_68_04,D7_1
04_68_07,D7_4
04_68_18,D7_1
04_68_24,D7_1
04_68_34,D7_4
04_68_55,D7_2
04_68_96,D7_1
04_69_37,D7_2
04_69_43,D7_4
04_69_71,D7_2
04_70_24,D7_4
04_70_70,D7_2
04_70_89,D7_4
04_71_12,D7_1
04_71_13,D7_1
04_71_21,D7_1
04_71_28,D7_1
04_71_44,D7_2
04_71_67,D7_1
04_71_76,D7_1
04_71_90,D7_1
04_72_37,D7_2
04_72_48,D7_3
04_72_90,D7_1
04_73_04,D7_3
04_73_17,D7_1
04_73_86,D7_1
04_73_90,D7_3
04_74_18,D7_2
04_74_19,D7_3
04_74_35,D7_1
04_74_43,D7_1
04_74_44,D7_1
04_74_45,D7_1
04_74_51,D7_1
04_75_04,D7_3
04_76_87,D7_1
04_76_89,D7_2
04_77_11,D7_4
04_77_18,D7_1
04_77_21,D7_2
04_77_26,D7_1
04_77_29,D7_4
04_77_31,D7_2
04_77_73,D7_4
04_77_78,D7_2
04_78_05,D7_1
04_78_31,D7_1
04_78_86,D7_1
04_79_31,D7_2
04_79_47,D7_4
04_79_53,D7_3
04_79_71,D7_1
04_79_89,D7_1
04_79_95,D7_1
04_79_96,D7_2
04_80_21,D7_1
04_80_23,D7_2
04_80_43,D7_1
04_80_70,D7_2
04_80_78,D7_1
04_81_52,D7_1
04_81_56,D7_3
04_81_74,D7_1
04_81_75,D7_3
04_82_31,D7_4
04_82_69,D7_1
04_82_75,D7_2
04_82_84,D7_1
04_82_85,D7_3
04_82_93,D7_2
04_83_23,D7_1
04_83_38,D7_1
04_83_40,D7_4
04_83_56,D7_3
04_83_60,D7_1
04_83_92,D7_1
04_83_94,D7_2
04_84_76,D7_2
04_85_22,D7_2
04_85_88,D7_1
04_86_40,D7_2
04_86_47,D7_1
04_86_63,D7_1
04_87_08,D7_1
04_87_24,D7_4
04_87_50,D7_4
04_87_68,D7_4
04_87_81,D7_2
04_88_04,D7_1
04_88_14,D7_2
04_88_15,D7_1
04_88_17,D7_4
04_88_20,D7_3
04_88_41,D7_1
04_88_42,D7_1
04_88_46,D7_3
04_89_06,D7_1
04_89_53,D7_2
04_89_77,D7_3
04_89_80,D7_1
