cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0000788,naive B cell,"['mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,,
CL:0000970,unswitched memory B cell,"['memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,leukocyte,leukocyte,leukocyte,
CL:0000972,class switched memory B cell,"['memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,leukocyte,leukocyte,leukocyte,
CL:0000786,plasma cell,"['antibody secreting cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",lymphocyte,lymphocyte,lymphocyte,,
CL:0000817,precursor B cell,"['B cell, CD19-positive', 'B cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",B cell,B cell,lymphocyte,lymphocyte,
CL:0000939,"CD16-positive, CD56-dim natural killer cell, human","['mature natural killer cell', 'natural killer cell', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",natural killer cell,natural killer cell,innate lymphoid cell,innate lymphoid cell,lymphocyte
CL:0000907,"central memory CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta memory T cell, CD45RO-positive', 'CD8-positive, alpha-beta memory T cell', 'CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0000826,pro-B cell,"['lymphoid lineage restricted progenitor cell', 'hematopoietic lineage restricted progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic precursor cell,hematopoietic cell,
CL:0000913,"effector memory CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta memory T cell, CD45RO-positive', 'CD8-positive, alpha-beta memory T cell', 'CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0000909,"CD8-positive, alpha-beta memory T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000897,"CD4-positive, alpha-beta memory T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000816,immature B cell,"['B cell, CD19-positive', 'B cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",B cell,B cell,lymphocyte,lymphocyte,
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human","['mature natural killer cell', 'natural killer cell', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",natural killer cell,natural killer cell,innate lymphoid cell,innate lymphoid cell,lymphocyte
CL:0000798,gamma-delta T cell,"['T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,lymphocyte,,,
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000787,memory B cell,"['mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,,
CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000980,plasmablast,"['mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,,
CL:0002045,fraction A pre-pro B cell,"['pro-B cell', 'lymphoid lineage restricted progenitor cell', 'hematopoietic lineage restricted progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic precursor cell,hematopoietic cell
CL:0000954,small pre-B-II cell,"['pre-B-II cell', 'precursor B cell', 'B cell, CD19-positive', 'B cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",B cell,B cell,B cell,B cell,lymphocyte
CL:0000937,pre-natural killer cell,"['natural killer cell', 'group 1 innate lymphoid cell', 'innate lymphoid cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",natural killer cell,innate lymphoid cell,innate lymphoid cell,lymphocyte,
CL:0000789,alpha-beta T cell,"['T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,lymphocyte,,,
CL:0000542,lymphocyte,"['mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",,,,,
CL:0000785,mature B cell,"['professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,,,
CL:0000906,"activated CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000896,"activated CD4-positive, alpha-beta T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000940,mucosal invariant T cell,"['mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,T cell,T cell,lymphocyte,
CL:0000905,"effector memory CD4-positive, alpha-beta T cell","['CD4-positive, alpha-beta memory T cell, CD45RO-positive', 'CD4-positive, alpha-beta memory T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0000987,IgA plasma cell,"['long lived plasma cell', 'plasma cell', 'antibody secreting cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",plasma cell,plasma cell,lymphocyte,lymphocyte,lymphocyte
CL:0000985,IgG plasma cell,"['long lived plasma cell', 'plasma cell', 'antibody secreting cell', 'lymphocyte of B lineage', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",plasma cell,plasma cell,lymphocyte,lymphocyte,lymphocyte
CL:0001043,"activated CD4-positive, alpha-beta T cell, human","['activated CD4-positive, alpha-beta T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell
CL:0002038,T follicular helper cell,"['CD4-positive helper T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell
CL:0001050,"effector CD8-positive, alpha-beta T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell","['alpha-beta intraepithelial T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000843,follicular B cell,"['B-2 B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,leukocyte,
CL:0000811,"CD8-positive, alpha-beta thymocyte","['immature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,T cell,T cell,lymphocyte,
CL:2000006,tonsil germinal center B cell,"['germinal center B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,leukocyte,
CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000492,CD4-positive helper T cell,"['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0009111,centrocyte,"['germinal center B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,leukocyte,
CL:0009112,centroblast,"['germinal center B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",leukocyte,leukocyte,leukocyte,leukocyte,
CL:0000904,"central memory CD4-positive, alpha-beta T cell","['CD4-positive, alpha-beta memory T cell, CD45RO-positive', 'CD4-positive, alpha-beta memory T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell
CL:0009113,T follicular regulatory cell,"['regulatory T cell', 'mature T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",regulatory T cell,mature T cell,T cell,lymphocyte,
CL:0001044,"effector CD4-positive, alpha-beta T cell","['CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0002117,IgG-negative class switched memory B cell,"['class switched memory B cell', 'memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,memory B cell,leukocyte,leukocyte,leukocyte
CL:0000979,IgG memory B cell,"['class switched memory B cell', 'memory B cell', 'mature B cell', 'professional antigen presenting cell', 'leukocyte', 'motile cell', 'native cell', 'cell']",memory B cell,memory B cell,leukocyte,leukocyte,leukocyte
CL:0000545,T-helper 1 cell,"['CD4-positive helper T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell
CL:0000899,T-helper 17 cell,"['CD4-positive helper T cell', 'CD4-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell
CL:0000810,"CD4-positive, alpha-beta thymocyte","['immature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,T cell,T cell,lymphocyte,
