cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell","['CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell,lymphocyte
CL:0000808,DN4 thymocyte,"['double negative thymocyte', 'thymocyte', 'immature T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,T cell,T cell,T cell,lymphocyte
CL:0000807,DN3 thymocyte,"['double negative thymocyte', 'thymocyte', 'immature T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",T cell,T cell,T cell,T cell,lymphocyte
CL:0000894,DN1 thymic pro-T cell,"['pro-T cell', 'lymphoid lineage restricted progenitor cell', 'hematopoietic lineage restricted progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic lineage restricted progenitor cell,hematopoietic precursor cell,hematopoietic cell
CL:0000917,Tc1 cell,"['CD8-positive, alpha-beta cytokine secreting effector T cell', 'CD8-positive, alpha-beta T cell', 'mature alpha-beta T cell', 'alpha-beta T cell', 'T cell', 'lymphocyte', 'mononuclear cell', 'single nucleate cell', 'nucleate cell', 'native cell', 'cell']",mature alpha-beta T cell,mature alpha-beta T cell,mature alpha-beta T cell,T cell,T cell
CL:0000038,erythroid progenitor cell,"['erythroid lineage cell', 'myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",erythroid lineage cell,myeloid cell,hematopoietic cell,,
CL:0000553,megakaryocyte progenitor cell,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000838,lymphoid lineage restricted progenitor cell,"['hematopoietic lineage restricted progenitor cell', 'hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic lineage restricted progenitor cell,hematopoietic precursor cell,hematopoietic cell,,
CL:0002028,basophil mast progenitor cell,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0001029,common dendritic progenitor,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000050,megakaryocyte-erythroid progenitor cell,"['myeloid cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",myeloid cell,hematopoietic cell,,,
CL:0000837,hematopoietic multipotent progenitor cell,"['hematopoietic precursor cell', 'hematopoietic cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",hematopoietic precursor cell,hematopoietic cell,,,
